input1,input2,input3,input4,input5,input6,Predic
270,0,12,30,85,0.64,0,
270,19.62104,12,30,85,0.64,22.65,
270,34.08599,12,30,85,0.64,32.25,
270,47.51624,12,30,85,0.64,48.74,
270,64.89358,12,30,85,0.64,1585.2,
270,74.46482,12,30,85,0.64,3466.77,
270,93.21373,12,30,85,0.64,7421.86,
270,110.75192,12,30,85,0.64,8153.87,
270,129.95468,12,30,85,0.64,8474.83,
270,149.84793,12,30,85,0.64,6407.44,
270,165.28064,12,30,85,0.64,4131.05,
270,174.52313,12,30,85,0.64,2498.02,
270,198.04272,12,30,85,0.64,350.84,
270,200.37333,12,30,85,0.64,14.57,
270,212.462,12,30,85,0.64,4.12,
270,230.27264,12,30,85,0.64,3.85,
270,253.6671,12,30,85,0.64,0.29,
270,270.02058,12,30,85,0.64,0,
270,0,12,30,85,0.64,0,
270,19.62104,12,30,85,0.64,22.65,
270,34.08599,12,30,85,0.64,32.25,
270,47.51624,12,30,85,0.64,48.74,
270,64.89358,12,30,85,0.64,1585.2,
270,74.46482,12,30,85,0.64,3466.77,
270,93.21373,12,30,85,0.64,7421.86,
270,110.75192,12,30,85,0.64,8153.87,
270,129.95468,12,30,85,0.64,8474.83,
270,149.84793,12,30,85,0.64,6407.44,
270,165.28064,12,30,85,0.64,4131.05,
270,174.52313,12,30,85,0.64,2498.02,
270,198.04272,12,30,85,0.64,350.84,
270,200.37333,12,30,85,0.64,3.57,
270,212.462,12,30,85,0.64,4.12,
270,230.27264,12,30,85,0.64,3.85,
270,253.6671,12,30,85,0.64,0.29,
270,270.02058,12,30,85,0.64,0,
270,0,12,30,85,0.64,0,
270,19.62104,12,30,85,0.64,22.65,
270,34.08599,12,30,85,0.64,32.25,
270,47.51624,12,30,85,0.64,48.74,
270,64.89358,12,30,85,0.64,1585.2,
270,74.46482,12,30,85,0.64,3466.77,
270,93.21373,12,30,85,0.64,7421.86,
270,110.75192,12,30,85,0.64,8153.87,
270,129.95468,12,30,85,0.64,8474.83,
270,149.84793,12,30,85,0.64,6407.44,
270,165.28064,12,30,85,0.64,4131.05,
270,174.52313,12,30,85,0.64,2498.02,
270,198.04272,12,30,85,0.64,350.84,
270,200.37333,12,30,85,0.64,3.57,
270,212.462,12,30,85,0.64,4.12,
270,230.27264,12,30,85,0.64,3.85,
270,253.6671,12,30,85,0.64,0.29,
270,270.02058,12,30,85,0.64,0,
270,0,12,30,85,0.64,0,
270,19.62104,12,30,85,0.64,22.65,
270,34.08599,12,30,85,0.64,32.25,
270,47.51624,12,30,85,0.64,48.74,
270,64.89358,12,30,85,0.64,1585.2,
270,74.46482,12,30,85,0.64,3466.77,
270,93.21373,12,30,85,0.64,7421.86,
270,110.75192,12,30,85,0.64,8153.87,
270,129.95468,12,30,85,0.64,8474.83,
270,149.84793,12,30,85,0.64,6407.44,
270,165.28064,12,30,85,0.64,4131.05,
270,174.52313,12,30,85,0.64,2498.02,
270,198.04272,12,30,85,0.64,350.84,
270,200.37333,12,30,85,0.64,3.57,
270,212.462,12,30,85,0.64,4.12,
270,230.27264,12,30,85,0.64,3.85,
270,253.6671,12,30,85,0.64,0.29,
270,270.02058,12,30,85,0.64,0,
270,0,12,30,85,0.64,0,
270,19.62104,12,30,85,0.64,22.65,
270,34.08599,12,30,85,0.64,32.25,
270,47.51624,12,30,85,0.64,48.74,
270,64.89358,12,30,85,0.64,1585.2,
270,74.46482,12,30,85,0.64,3466.77,
270,93.21373,12,30,85,0.64,7421.86,
270,110.75192,12,30,85,0.64,8153.87,
270,129.95468,12,30,85,0.64,8474.83,
270,149.84793,12,30,85,0.64,6407.44,
270,165.28064,12,30,85,0.64,4131.05,
270,174.52313,12,30,85,0.64,2498.02,
270,198.04272,12,30,85,0.64,350.84,
270,200.37333,12,30,85,0.64,3.57,
270,212.462,12,30,85,0.64,4.12,
270,230.27264,12,30,85,0.64,3.85,
270,253.6671,12,30,85,0.64,0.29,
270,270.02058,12,30,85,0.64,0,
